"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear","ride_length","day_of_week","month","start_hour","end_hour","tripduration_mins","duration_diff","hour","weekday","route_count"
25867849,2019-12-11 17:15:25,2019-12-11 17:28:21,2635,775,148,"State St & 33rd St",149,"Calumet Ave & 33rd St","Customer","unknown","NA",12.9333333333333,"Wednesday","Dec","17","17",12.9166666666667,0.0166666666666675,17,"Wed",1355
25867855,2019-12-11 17:15:56,2019-12-11 17:26:29,1056,632,426,"Ellis Ave & 60th St",248,"Woodlawn Ave & 55th St","Customer","Male","2000",10.55,"Wednesday","Dec","17","17",10.5333333333333,0.0166666666666675,17,"Wed",139
25882480,2019-12-13 17:16:06,2019-12-13 17:26:34,5565,627,623,"Michigan Ave & 8th St",52,"Michigan Ave & Lake St","Customer","Male","1989",10.4666666666667,"Friday","Dec","17","17",10.45,0.0166666666666675,17,"Fri",114
25882968,2019-12-13 17:51:26,2019-12-13 18:03:18,45,711,100,"Orleans St & Merchandise Mart Plaza",74,"Kingsbury St & Erie St","Customer","Female","1992",11.8666666666667,"Friday","Dec","17","18",11.85,0.0166666666666675,17,"Fri",505
25882969,2019-12-13 17:51:31,2019-12-13 18:03:36,6438,724,100,"Orleans St & Merchandise Mart Plaza",74,"Kingsbury St & Erie St","Customer","Female","1985",12.0833333333333,"Friday","Dec","17","18",12.0666666666667,0.0166666666666675,17,"Fri",505
25895153,2019-12-16 17:22:40,2019-12-16 17:34:11,1202,690,111,"Sedgwick St & Huron St",192,"Canal St & Adams St","Customer","Male","1981",11.5166666666667,"Monday","Dec","17","17",11.5,0.0166666666666675,17,"Mon",437
25895298,2019-12-16 17:31:23,2019-12-16 17:45:09,1940,825,184,"State St & 35th St",207,"Emerald Ave & 28th St","Customer","Male","1994",13.7666666666667,"Monday","Dec","17","17",13.75,0.0166666666666675,17,"Mon",70
25901652,2019-12-17 17:26:07,2019-12-17 17:38:44,2719,756,641,"Central Park Ave & Bloomingdale Ave",158,"Milwaukee Ave & Wabansia Ave","Customer","Female","1983",12.6166666666667,"Tuesday","Dec","17","17",12.6,0.0166666666666675,17,"Tue",24
25912682,2019-12-19 17:50:04,2019-12-19 17:59:28,3962,563,123,"California Ave & Milwaukee Ave",498,"California Ave & Fletcher St","Customer","unknown","NA",9.4,"Thursday","Dec","17","17",9.38333333333333,0.0166666666666675,17,"Thu",203
25944791,2019-12-26 17:31:12,2019-12-26 17:42:43,1368,690,268,"Lake Shore Dr & North Blvd",329,"Lake Shore Dr & Diversey Pkwy","Customer","unknown","NA",11.5166666666667,"Thursday","Dec","17","17",11.5,0.0166666666666675,17,"Thu",248
